state_name,district_name,district_key,shannon_index,simpson_index,crop_richness,total_cropped_area,dominant_crop,dominant_crop_share,top3_crops_share,shannon_index_norm,simpson_index_norm,crop_richness_norm,agro_biodiversity_index,abi_category,irrigation_pct,irrigation_regime,share_cereals,share_drugs_and_narcotics,share_fiber_crops,share_fodder,share_fruits,share_oilseeds,share_pulses,share_spices,share_sugar,share_vegetable
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,0.5399,0.2231,18,301911.3,Coconut,0.8788,0.9684,0.1920600476681726,0.2425,0.38636363636363635,0.2736,Low,,,0.0017632329333251587,0.0,0.0,0.0,0.05773572657905882,0.8787752682219644,0.0004196596398021896,0.05827432842616406,0.0003743814450421585,0.0026574027546432256
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,1.7061,0.72,23,198535.2,Rice,0.45,0.8091,0.606915442353527,0.7826086956521738,0.5,0.6298,Moderate,,,0.4530496992598036,0.0,0.0,0.0,0.06353988198059639,0.24267481098435217,0.07548612928239659,0.1471655271119497,0.0064946685763201135,0.011589282804581456
Andaman And Nicobar Islands,Purulia,ANDAMAN AND NICOBAR ISLANDS|PURULIA,-0.0,0.0,1,171413.0,Wheat,1.0,1.0,0.0,0.0,0.0,0.0,Very Low,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,1.6127,0.7385,22,168124.7,Coconut,0.3788,0.8467,0.5736900145850379,0.8027173913043478,0.4772727272727273,0.6179,Moderate,,,0.27416995222473606,0.0,0.0,0.0,0.06931820709704335,0.3810950755231267,0.0050844415090564345,0.2553866874734498,0.009239275190207076,0.005706360982380574
Andhra Pradesh,Anantapur,ANDHRA PRADESH|ANANTAPUR,1.4862,0.57,41,24861065.0,Groundnut,0.6417,0.7989,0.5286898367187222,0.6195652173913042,0.9090909090909091,0.6858,Moderate,58.89638467,Semi-Irrigated (40-60%),0.08089371875259567,0.00010550634093913515,0.019542364737793815,0.0,0.0035863708976264694,0.7798198508390529,0.10778094180599262,0.006313084334882677,0.0002658373645698605,0.0016923249265467912
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,1.7247,0.6983,39,7620596.0,Groundnut,0.5004,0.7722,0.6135320692967166,0.7590217391304348,0.8636363636363636,0.7454,Moderate,51.33630731,Semi-Irrigated (40-60%),0.23115882274824698,0.00014263976203436057,0.0007746113296125394,0.0,0.0022680640726788297,0.5999912605260795,0.06747280658888097,0.008195553208699162,0.08510121780501158,0.004895023958755982
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,1.5798,0.5959,42,14248317.0,Rice,0.6222,0.756,0.5619864110134822,0.6477173913043478,0.9318181818181818,0.7138,Moderate,88.54051379,Irrigated (>60%),0.6411437926317894,0.009459292630841944,0.018958940905090756,0.0,0.059284124574151456,0.09127463966446002,0.13662553970409277,0.003144441550535407,0.022393100883423635,0.017716127455614582
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,1.9446,0.7852,39,16835282.0,Rice,0.3716,0.7136,0.6917576749315215,0.8534782608695652,0.8636363636363636,0.803,High,70.36886907,Irrigated (>60%),0.4502886853929741,0.006646398913899987,0.22112240234526515,0.0,0.005994672379114291,0.020558907180764776,0.2034359745206525,0.08932342208464343,0.0015062414754917679,0.001123295707193975
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2.2455,0.8416,41,8685890.0,Groundnut,0.2891,0.6045,0.7987976237060225,0.9147826086956522,0.9090909090909091,0.8742,High,,,0.1950789153443113,0.00047675022363856786,0.05507184640837036,0.0,0.015359623481301283,0.46871684997162066,0.22198703874905162,0.03367311812606422,0.0013924882769641338,0.00824336941867788
Andhra Pradesh,Karimnagar,ANDHRA PRADESH|KARIMNAGAR,1.6519,0.7236,33,9358077.0,Rice,0.43,0.85,0.5876347337341253,0.7865217391304348,0.7272727272727273,0.7005,Moderate,,,0.6366677683887405,0.0014849204596200695,0.21742522528934097,0.0,7.693888391813831e-06,0.043739648647900635,0.06389475102630594,0.032853758309533035,0.0027474661728045194,0.0011787678173624774
