state_name,district_name,district_key,year,year_start,shannon_index,simpson_index,crop_richness,total_cropped_area,dominant_crop,dominant_crop_share,top3_crops_share
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2000-01,2000,0.4896,0.2098,10,20504.0,Coconut,0.8861,0.9823
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2001-02,2001,0.4306,0.1925,8,20306.0,Coconut,0.8958,0.993
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2002-03,2002,0.6087,0.2508,9,21147.5,Coconut,0.8625,0.956
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2003-04,2003,0.5356,0.2238,9,20822.4,Coconut,0.8781,0.9731
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2004-05,2004,0.4921,0.2074,9,20726.3,Coconut,0.8875,0.9815
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2005-06,2005,0.3814,0.1645,8,15214.3,Coconut,0.9121,0.9939
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2006-07,2006,0.455,0.1912,11,16005.9,Coconut,0.897,0.9811
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2010-11,2010,0.6427,0.2805,15,17256.2,Coconut,0.8438,0.9564
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2011-12,2011,0.6567,0.2865,14,17368.5,Coconut,0.84,0.9542
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2012-13,2012,0.5854,0.2552,13,17057.4,Coconut,0.8589,0.9762
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2013-14,2013,0.5369,0.2369,14,16849.8,Coconut,0.8697,0.9841
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2014-15,2014,0.5406,0.2375,14,16876.2,Coconut,0.8694,0.9828
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2015-16,2015,0.6013,0.262,14,17161.4,Coconut,0.8552,0.9627
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2016-17,2016,0.5297,0.2239,13,16897.8,Coconut,0.8782,0.971
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2017-18,2017,0.414,0.1775,12,15137.1,Coconut,0.9047,0.9922
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2018-19,2018,0.4104,0.1786,12,15185.8,Coconut,0.904,0.9937
Andaman And Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2019-20,2019,0.4116,0.1783,12,17394.7,Coconut,0.9042,0.993
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2000-01,2000,1.4501,0.6919,11,24014.0,Rice,0.4489,0.8691
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2001-02,2001,1.2204,0.647,8,20857.0,Rice,0.4659,0.9509
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2006-07,2006,1.4317,0.6616,13,13556.7,Rice,0.5056,0.8549
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2010-11,2010,1.8179,0.7509,18,16082.3,Rice,0.4223,0.7309
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2011-12,2011,1.8316,0.7366,20,16400.2,Rice,0.446,0.7512
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2012-13,2012,1.8105,0.7319,20,16647.9,Rice,0.4523,0.7535
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2013-14,2013,1.7021,0.7077,20,16163.2,Rice,0.4755,0.7866
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2014-15,2014,1.8678,0.769,20,15758.7,Rice,0.3911,0.726
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2015-16,2015,1.7888,0.7581,20,14822.0,Rice,0.3966,0.7488
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2016-17,2016,1.7532,0.7644,20,13037.6,Rice,0.3593,0.7593
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2017-18,2017,1.4828,0.6647,19,9674.4,Rice,0.5271,0.8467
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2018-19,2018,1.4819,0.6781,19,10487.9,Rice,0.498,0.8625
Andaman And Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2019-20,2019,1.4573,0.6698,17,11033.6,Rice,0.5103,0.8623
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2002-03,2002,1.4595,0.6951,10,24083.9,Rice,0.4441,0.8662
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2003-04,2003,1.4682,0.6979,10,23977.0,Rice,0.4383,0.8649
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2004-05,2004,1.4747,0.7028,10,24582.5,Rice,0.4345,0.8542
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2005-06,2005,1.5845,0.7284,13,22636.7,Rice,0.3836,0.8387
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2006-07,2006,1.5701,0.7109,13,7764.0,Coconut,0.4486,0.825
Andaman And Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,2010-11,2010,1.6219,0.7271,18,8359.4,Coconut,0.4235,0.8431
