district_key,year_start,shannon_index,simpson_index,crop_richness,cropped_area,D0_richness,D1_exp_shannon,D2_inv_simpson,evenness_D1_D0
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2000,0.4896259639476258,0.20979930887936904,10,20504.0,10,1.631705789008948,1.2655012976283786,0.16317057890089479
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2001,0.4305789897211533,0.19246290157128976,8,20306.0,8,1.5381478375696434,1.2383332009709278,0.19226847969620542
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2002,0.6087313294741343,0.25079933556268663,9,21147.5,9,1.8380979781950617,1.334755890467675,0.2042331086883402
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2003,0.5356091633304159,0.2238254533374051,9,20822.440000000002,9,1.7084886739762286,1.2883699991191577,0.18983207488624762
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2004,0.49209545503228497,0.20744612915532334,9,20726.26,9,1.6357402513918264,1.2617438849099738,0.18174891682131405
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2005,0.3814288198665168,0.16450310193545092,8,15214.33,8,1.4643754240634297,1.196892534630023,0.1830469280079287
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2006,0.4550344913604451,0.19121956842786858,11,16005.89,11,1.5762277483358307,1.2364295190181225,0.1432934316668937
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2010,0.6427076114646372,0.2805254331233611,15,17256.24,15,1.9016227706568747,1.3899031960798414,0.126774851377125
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2011,0.6567047060525383,0.28652866101910845,14,17368.5,14,1.9284271183218618,1.4015979975150514,0.13774479416584726
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2012,0.5854055330809765,0.2552398053240309,13,17057.45,13,1.7957190614840737,1.3427140805169921,0.1381322354987749
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2013,0.5368669496080931,0.2368558813972027,14,16849.75,14,1.7106389395897326,1.3103684816844954,0.1221884956849809
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2014,0.5406296530797119,0.23747219592991542,14,16876.2,14,1.7170876914284618,1.311427589475923,0.12264912081631871
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2015,0.6013297669510663,0.261965710147827,14,17161.4,14,1.8245434054747585,1.3549505947756144,0.13032452896248276
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2016,0.5296934486092681,0.2238815679278131,13,16897.81,13,1.6984115783759524,1.288463150308212,0.1306470444904579
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2017,0.41395180924433933,0.17747707018405157,12,15137.08,12,1.5127842229129063,1.2157715776066749,0.12606535190940885
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2018,0.41042692477454396,0.17861584621582616,12,15185.779999999999,12,1.507461220295479,1.217457136703856,0.12562176835795658
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,2019,0.4115915265780061,0.17832453611872612,12,17394.7,12,1.5092178350310876,1.217025509410237,0.1257681529192573
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2000,1.4500805560044647,0.6918966282189197,11,24014.0,11,4.263457948473357,3.245663928373169,0.3875870862248506
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2001,1.2204413760974373,0.646963609247839,8,20857.0,8,3.388683087306899,2.8325691803880386,0.42358538591336237
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2006,1.4317232167052094,0.6615630597045474,13,13556.67,13,4.185906204015208,2.954760195878761,0.3219927849242468
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2010,1.8178814535991454,0.7508725395290252,18,16082.28,18,6.158796921989694,4.014009527932018,0.342155384554983
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2011,1.8316376627492597,0.7365676559360501,20,16400.15,20,6.244104026506429,3.7960410805031732,0.3122052013253215
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2012,1.8104691831237627,0.7319386701501606,20,16647.85,20,6.11331502370461,3.7304895881855558,0.3056657511852305
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2013,1.7021418812265834,0.7077131239813736,20,16163.15,20,5.48568450214192,3.4212962744734177,0.274284225107096
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2014,1.8678416545541814,0.7690456087552874,20,15758.699999999999,20,6.474307516153838,4.329859218569387,0.32371537580769194
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2015,1.7888458656788178,0.758116431298328,20,14822.0,20,5.982543821245678,4.13422046552221,0.2991271910622839
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2016,1.7532197021206697,0.7644346065027522,20,13037.550000000001,20,5.773160641974738,4.245105722677739,0.2886580320987369
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,2017,1.482765317857682,0.6647014665187017,19,9674.36,19,4.405110383941341,2.9824168618255413,0.23184791494428109
