div_key,shrug_key,method,score
ARUNACHAL PRADESH|LOWER SIANG,ARUNACHAL PRADESH|WEST SIANG,fuzzy_review,0.762
PUDUCHERRY|PONDICHERRY,PUDUCHERRY|PUDUCHERRY,fuzzy_review,0.762
MAHARASHTRA|RAIGAD,MAHARASHTRA|RAIGARH,fuzzy_review,0.769
ASSAM|KAMRUP METRO,ASSAM|KAMRUP METROPOLITAN,fuzzy_review,0.774
ODISHA|DEOGARH,ODISHA|DEBAGARH,fuzzy_review,0.8
ODISHA|BOUDH,ODISHA|BAUDH,fuzzy_review,0.8
RAJASTHAN|DHOLPUR,RAJASTHAN|DHAULPUR,fuzzy_review,0.8
JAMMU AND KASHMIR|SHOPIAN,JAMMU KASHMIR|SHUPIYAN,fuzzy_review,0.8
MADHYA PRADESH|NARSINGHPUR,MADHYA PRADESH|NARSIMHAPUR,fuzzy_review,0.818
UTTAR PRADESH|SANT RAVIDAS NAGAR,UTTAR PRADESH|SANT RAVIDAS NAGAR BHADOHI,fuzzy_review,0.818
KARNATAKA|SHIVAMOGGA,KARNATAKA|SHIMOGA,fuzzy_review,0.824
MEGHALAYA|EAST JAINTIA HILLS,MEGHALAYA|JAINTIA HILLS,fuzzy_review,0.839
ASSAM|WEST KARBI ANGLONG,ASSAM|KARBI ANGLONG,fuzzy_review,0.839
MEGHALAYA|WEST JAINTIA HILLS,MEGHALAYA|JAINTIA HILLS,fuzzy_review,0.839
MEGHALAYA|SOUTH WEST KHASI HILLS,MEGHALAYA|WEST KHASI HILLS,fuzzy_review,0.842
HIMACHAL PRADESH|LAHUL AND SPITI,HIMACHAL PRADESH|LAHUL SPITI,fuzzy_review,0.846
KARNATAKA|YADAGIRI,KARNATAKA|YADGIR,fuzzy_review,0.857
JAMMU AND KASHMIR|RAJAURI,JAMMU KASHMIR|RAJOURI,fuzzy_review,0.857
JHARKHAND|KODERMA,JHARKHAND|KODARMA,fuzzy_review,0.857
KARNATAKA|TUMAKURU,KARNATAKA|TUMKUR,fuzzy_review,0.857
TAMIL NADU|KANCHIPURAM,TAMIL NADU|KANCHEEPURAM,fuzzy_auto,0.87
RAJASTHAN|CHITTORGARH,RAJASTHAN|CHITTAURGARH,fuzzy_auto,0.87
ASSAM|MARIGAON,ASSAM|MORIGAON,fuzzy_auto,0.875
KARNATAKA|CHIKKAMAGALURU,KARNATAKA|CHIKMAGALUR,fuzzy_auto,0.88
JAMMU AND KASHMIR|BANDIPORA,JAMMU KASHMIR|BANDIPORE,fuzzy_auto,0.889
JHARKHAND|SAHEBGANJ,JHARKHAND|SAHIBGANJ,fuzzy_auto,0.889
TAMIL NADU|VILLUPURAM,TAMIL NADU|VILUPPURAM,fuzzy_auto,0.9
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU|DADRA AND NAGAR HAVELI,DADRA NAGAR HAVELI|DADRA NAGAR HAVELI,fuzzy_auto,0.9
MAHARASHTRA|AHMEDNAGAR,MAHARASHTRA|AHMADNAGAR,fuzzy_auto,0.9
RAJASTHAN|JALORE,RAJASTHAN|JALOR,fuzzy_auto,0.909
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,ANDAMAN NICOBAR ISLANDS|NORTH MIDDLE ANDAMAN,fuzzy_auto,0.909
MEGHALAYA|RI BHOI,MEGHALAYA|RIBHOI,fuzzy_auto,0.923
MAHARASHTRA|GONDIA,MAHARASHTRA|GONDIYA,fuzzy_auto,0.923
UTTARAKHAND|HARIDWAR,UTTARAKHAND|HARDWAR,fuzzy_auto,0.933
BIHAR|PURBI CHAMPARAN,BIHAR|PURBA CHAMPARAN,fuzzy_auto,0.933
MAHARASHTRA|BULDHANA,MAHARASHTRA|BULDANA,fuzzy_auto,0.933
KARNATAKA|BAGALKOTE,KARNATAKA|BAGALKOT,fuzzy_auto,0.941
PUNJAB|FIROZEPUR,PUNJAB|FIROZPUR,fuzzy_auto,0.941
JAMMU AND KASHMIR|BARAMULLA,JAMMU KASHMIR|BARAMULA,fuzzy_auto,0.941
KARNATAKA|DAVANGERE,KARNATAKA|DAVANAGERE,fuzzy_auto,0.947
RAJASTHAN|JHUNJHUNU,RAJASTHAN|JHUNJHUNUN,fuzzy_auto,0.947
UTTARAKHAND|UTTAR KASHI,UTTARAKHAND|UTTARKASHI,fuzzy_auto,0.952
ODISHA|NABARANGPUR,ODISHA|NABARANGAPUR,fuzzy_auto,0.957
UTTARAKHAND|RUDRA PRAYAG,UTTARAKHAND|RUDRAPRAYAG,fuzzy_auto,0.957
ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,ANDAMAN NICOBAR ISLANDS|SOUTH ANDAMAN,fuzzy_auto,0.963
KARNATAKA|CHAMARAJANAGARA,KARNATAKA|CHAMARAJANAGAR,fuzzy_auto,0.966
UTTARAKHAND|UDAM SINGH NAGAR,UTTARAKHAND|UDHAM SINGH NAGAR,fuzzy_auto,0.97
