div_key,shrug_key,method,score,n_sharing_parent
ANDAMAN AND NICOBAR ISLANDS|NICOBARS,ANDAMAN NICOBAR ISLANDS|NICOBARS,exact,1.0,1.0
ANDAMAN AND NICOBAR ISLANDS|NORTH AND MIDDLE ANDAMAN,ANDAMAN NICOBAR ISLANDS|NORTH MIDDLE ANDAMAN,fuzzy_auto,0.909,1.0
ANDAMAN AND NICOBAR ISLANDS|SOUTH ANDAMANS,ANDAMAN NICOBAR ISLANDS|SOUTH ANDAMAN,fuzzy_auto,0.963,1.0
ANDHRA PRADESH|ANANTAPUR,ANDHRA PRADESH|ANANTAPUR,exact,1.0,1.0
ANDHRA PRADESH|CHITTOOR,ANDHRA PRADESH|CHITTOOR,exact,1.0,1.0
ANDHRA PRADESH|EAST GODAVARI,ANDHRA PRADESH|EAST GODAVARI,exact,1.0,1.0
ANDHRA PRADESH|GUNTUR,ANDHRA PRADESH|GUNTUR,exact,1.0,1.0
ANDHRA PRADESH|KADAPA,ANDHRA PRADESH|YSR KADAPA,parent_map,1.0,1.0
ANDHRA PRADESH|KARIMNAGAR,ANDHRA PRADESH|KARIMNAGAR,exact,1.0,5.0
ANDHRA PRADESH|KHAMMAM,ANDHRA PRADESH|KHAMMAM,exact,1.0,3.0
ANDHRA PRADESH|KRISHNA,ANDHRA PRADESH|KRISHNA,exact,1.0,1.0
ANDHRA PRADESH|KURNOOL,ANDHRA PRADESH|KURNOOL,exact,1.0,1.0
ANDHRA PRADESH|MEDAK,ANDHRA PRADESH|MEDAK,exact,1.0,4.0
ANDHRA PRADESH|NALGONDA,ANDHRA PRADESH|NALGONDA,exact,1.0,4.0
ANDHRA PRADESH|NIZAMABAD,ANDHRA PRADESH|NIZAMABAD,exact,1.0,3.0
ANDHRA PRADESH|PRAKASAM,ANDHRA PRADESH|PRAKASAM,exact,1.0,1.0
ANDHRA PRADESH|RANGAREDDI,ANDHRA PRADESH|RANGAREDDY,parent_map,1.0,4.0
ANDHRA PRADESH|SRI POTTI SRIRAMULU NELLORE,ANDHRA PRADESH|SRI POTTI SRIRAMULU NELLORE,exact,1.0,1.0
ANDHRA PRADESH|SRIKAKULAM,ANDHRA PRADESH|SRIKAKULAM,exact,1.0,1.0
ANDHRA PRADESH|VISAKHAPATANAM,ANDHRA PRADESH|VISAKHAPATNAM,parent_map,1.0,1.0
ANDHRA PRADESH|VIZIANAGARAM,ANDHRA PRADESH|VIZIANAGARAM,exact,1.0,1.0
ANDHRA PRADESH|WARANGAL,ANDHRA PRADESH|WARANGAL,exact,1.0,7.0
ANDHRA PRADESH|WEST GODAVARI,ANDHRA PRADESH|WEST GODAVARI,exact,1.0,1.0
ARUNACHAL PRADESH|ANJAW,ARUNACHAL PRADESH|ANJAW,exact,1.0,1.0
ARUNACHAL PRADESH|CHANGLANG,ARUNACHAL PRADESH|CHANGLANG,exact,1.0,1.0
ARUNACHAL PRADESH|DIBANG VALLEY,ARUNACHAL PRADESH|DIBANG VALLEY,exact,1.0,1.0
ARUNACHAL PRADESH|EAST KAMENG,ARUNACHAL PRADESH|EAST KAMENG,exact,1.0,2.0
ARUNACHAL PRADESH|EAST SIANG,ARUNACHAL PRADESH|EAST SIANG,exact,1.0,2.0
ARUNACHAL PRADESH|KAMLE,ARUNACHAL PRADESH|UPPER SUBANSIRI,parent_map,1.0,2.0
ARUNACHAL PRADESH|KRA DAADI,ARUNACHAL PRADESH|KURUNG KUMEY,parent_map,1.0,2.0
ARUNACHAL PRADESH|KURUNG KUMEY,ARUNACHAL PRADESH|KURUNG KUMEY,exact,1.0,2.0
ARUNACHAL PRADESH|LEPARADA,ARUNACHAL PRADESH|WEST SIANG,parent_map,1.0,4.0
ARUNACHAL PRADESH|LOHIT,ARUNACHAL PRADESH|LOHIT,exact,1.0,2.0
ARUNACHAL PRADESH|LONGDING,ARUNACHAL PRADESH|TIRAP,parent_map,1.0,2.0
ARUNACHAL PRADESH|LOWER DIBANG VALLEY,ARUNACHAL PRADESH|LOWER DIBANG VALLEY,exact,1.0,1.0
ARUNACHAL PRADESH|LOWER SIANG,ARUNACHAL PRADESH|WEST SIANG,fuzzy_review,0.762,4.0
ARUNACHAL PRADESH|LOWER SUBANSIRI,ARUNACHAL PRADESH|LOWER SUBANSIRI,exact,1.0,1.0
ARUNACHAL PRADESH|NAMSAI,ARUNACHAL PRADESH|LOHIT,parent_map,1.0,2.0
ARUNACHAL PRADESH|PAKKE KESSANG,ARUNACHAL PRADESH|EAST KAMENG,parent_map,1.0,2.0
ARUNACHAL PRADESH|PAPUM PARE,ARUNACHAL PRADESH|PAPUM PARE,exact,1.0,1.0
ARUNACHAL PRADESH|SHI YOMI,ARUNACHAL PRADESH|WEST SIANG,parent_map,1.0,4.0
ARUNACHAL PRADESH|SIANG,ARUNACHAL PRADESH|EAST SIANG,parent_map,1.0,2.0
ARUNACHAL PRADESH|TAWANG,ARUNACHAL PRADESH|TAWANG,exact,1.0,1.0
ARUNACHAL PRADESH|TIRAP,ARUNACHAL PRADESH|TIRAP,exact,1.0,2.0
ARUNACHAL PRADESH|UPPER SIANG,ARUNACHAL PRADESH|UPPER SIANG,exact,1.0,1.0
ARUNACHAL PRADESH|UPPER SUBANSIRI,ARUNACHAL PRADESH|UPPER SUBANSIRI,exact,1.0,2.0
ARUNACHAL PRADESH|WEST KAMENG,ARUNACHAL PRADESH|WEST KAMENG,exact,1.0,1.0
ARUNACHAL PRADESH|WEST SIANG,ARUNACHAL PRADESH|WEST SIANG,exact,1.0,4.0
ASSAM|BAKSA,ASSAM|BAKSA,exact,1.0,1.0
ASSAM|BARPETA,ASSAM|BARPETA,exact,1.0,1.0
ASSAM|BISWANATH,ASSAM|SONITPUR,parent_map,1.0,2.0
