spec,n,b1,b2,p2,tp,r2
D1: no fixed effects,606,10.443511030333296,-10.185227455305302,3.2982483315153e-13,0.5126793228801905,0.06463457610614431
D1: state fixed effects,606,3.8738409287925664,-6.8767834131176375,5.051905681769994e-07,0.2816608213516742,0.5300543022454667
D1: PC11 VD irrigation,573,2.748797418570705,-5.428428170212602,1.55885372670071e-06,0.25318539109112403,0.5335754064754743
D1: drop shared parents,542,3.396063731309595,-6.3821935485697825,8.864815233891915e-06,0.26605772023872853,0.5378178557149749
D1: inverse-parent weighted,606,3.641402323142971,-6.6115372427620205,1.766325000202443e-06,0.27538242540563435,0.5310345985408205
D1: drop source conflicts,530,3.235233601472069,-6.615253880227517,2.4581890956634864e-06,0.24452830231821734,0.5469177116924532
D1: full 23 years only,506,3.10729165655462,-6.27000802770831,3.308018460406017e-05,0.24779008597939037,0.5163298388937185
D1: area weighted,606,5.778368046884427,-8.08280485506903,2.823859623970673e-05,0.35744819716020954,0.5325096647452094
D0 richness,606,10.087589745607296,-10.909593443805559,0.00013357156841004036,0.46232656595168564,0.8278105285942667
D2 inverse Simpson,606,1.759701737650963,-3.9250944773789933,0.0001219606563078896,0.2241604307606393,0.4996883046466408
evenness D1/D0,606,0.06643215853440317,-0.1875232874260701,0.013173510981134782,0.17713042322968456,0.5430863181343448
Shannon (raw),606,0.9362823302918822,-1.4319881788855078,1.0292259948235268e-06,0.32691692015941604,0.5784022695542457
Simpson (raw),606,0.26773318864674095,-0.3672822214539548,0.00025961454673195547,0.36447882991296104,0.610804247992172
"ABI (composite, for comparison)",606,0.31034701656074387,-0.4168485810569932,8.410285905006116e-07,0.37225389585566565,0.6681263385300453
