facility,outcome,b,p
mandi,D1_exp_shannon,0.2276803492031907,0.9132035590922485
mandi,D0_richness,1.8801056910257579,0.5402356664261584
mandi,share_cereals,-0.23472488041319448,0.053587282635782295
mandi,share_pulses,-0.04590957831089307,0.4807848389955398
regular market,D1_exp_shannon,-0.6902270677254465,0.39323612703629385
regular market,D0_richness,-2.8751319637884603,0.1184882223333594
regular market,share_cereals,0.048808958377558276,0.595919746173978
regular market,share_pulses,-0.09363636123968187,0.003984975909821525
weekly haat,D1_exp_shannon,0.487945136704096,0.5600934469073158
weekly haat,D0_richness,7.330866407830149,3.359810696045611e-06
weekly haat,share_cereals,-0.05037290871309889,0.4494213856483109
weekly haat,share_pulses,-0.06829173585658889,0.11276520853590873
fertiliser shop,D1_exp_shannon,0.278342563012262,0.7769722653545175
fertiliser shop,D0_richness,1.0991331585720463,0.566847844977286
fertiliser shop,share_cereals,-0.1979490724357841,0.022771259340528652
fertiliser shop,share_pulses,-0.17432964307746218,3.064758517530634e-05
seed centre,D1_exp_shannon,-0.379343296847655,0.7057340175943108
seed centre,D0_richness,4.526701495704463,0.02188288453608391
seed centre,share_cereals,-0.00972470246490871,0.9217442084791782
seed centre,share_pulses,-0.05691493516979822,0.18847470792521637
soil testing,D1_exp_shannon,0.3172448214853491,0.7464244876158183
soil testing,D0_richness,2.665390492806809,0.16939541120714474
soil testing,share_cereals,0.11081482563432585,0.382714041338001
soil testing,share_pulses,-0.07543830605938354,0.10801825847289327
custom hiring,D1_exp_shannon,0.11050594198675667,0.9295669798687954
custom hiring,D0_richness,1.7532784860656356,0.4767330502962015
custom hiring,share_cereals,-0.031932669103337086,0.7376530864668305
custom hiring,share_pulses,-0.05629651855827891,0.24211424128811443
cold storage,D1_exp_shannon,0.7498152404378278,0.6470131338860918
cold storage,D0_richness,6.336877036000187,0.0388113727547214
cold storage,share_cereals,0.14066716321528527,0.26939470185528946
cold storage,share_pulses,-0.17162284894037325,0.008152822282855
farm-gate processing,D1_exp_shannon,0.2041639160451782,0.8221426178524562
farm-gate processing,D0_richness,3.9618735879806994,0.04691467396426705
farm-gate processing,share_cereals,0.035293808611844,0.7273429552383037
farm-gate processing,share_pulses,-0.05298082647035564,0.29461585379734256
FPO,D1_exp_shannon,1.949195226212215,0.03174733471963243
FPO,D0_richness,2.3941959759638065,0.1882721925078754
FPO,share_cereals,-0.13395441919250226,0.0674886081015061
FPO,share_pulses,-0.06605019088501257,0.09924074062440319
