variable,module,source_file,formula,note
ay_total_cultivable_area_in_hac,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_net_sown_area_in_hac,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_net_sown_area_kharif_in_hac,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_net_sown_area_rabi_in_hac,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_net_sown_area_other_in_hac,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_area_irrigated_in_hac,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_total_unirrigated_land_area_in_h,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_total_no_of_farmers,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_total_no_farmers_adopted_organic,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_no_of_farmers_using_drip_sprinkl,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_total_hhd,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_total_hhd_engaged_in_farm_activi,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_total_population,shrug-antyodaya-dta,antyodaya_shrid.dta,sum over shrids in district,
ay_mandi_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_regular_market_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_weekly_haat_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_fpo_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_canal_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_surface_water_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_ground_water_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_other_irrigation_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_is_soil_testing_centre_available_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_is_fertilizer_shop_available_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_is_govt_seed_centre_available_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_availability_of_food_storage_war_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_availability_of_farm_gate_proces_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_availability_of_custom_hiring_ce_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_is_common_pastures_available_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
ay_livestock_ext_services_n,shrug-antyodaya-dta,antyodaya_shrid.dta,sum of village-share flag = est. village count,
pc11_vd_land_nt_swn,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_un_irr,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_src_irr,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_canal_irr,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_wl_tw_irr,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_tnk_lk_irr,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_w_fall_irr,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_oth_src_irr,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_fores,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_non_agri,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_cur_fal,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_fallow,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_cult_waste,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_land_pst_grz,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_power_agr,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_comm_bank,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_vd_coop_bank,shrug-vd11-dta,pc11_vd_clean_shrid.dta,sum over shrids,
pc11_pca_tot_p,shrug-pca11-dta,pc11_pca_clean_shrid.dta,sum over shrids,
pc11_pca_p_sc,shrug-pca11-dta,pc11_pca_clean_shrid.dta,sum over shrids,
pc11_pca_p_st,shrug-pca11-dta,pc11_pca_clean_shrid.dta,sum over shrids,
pc11_pca_main_cl_p,shrug-pca11-dta,pc11_pca_clean_shrid.dta,sum over shrids,
pc11_pca_main_al_p,shrug-pca11-dta,pc11_pca_clean_shrid.dta,sum over shrids,
pc11_pca_marg_cl_p,shrug-pca11-dta,pc11_pca_clean_shrid.dta,sum over shrids,
pc11_pca_marg_al_p,shrug-pca11-dta,pc11_pca_clean_shrid.dta,sum over shrids,
pc11_pca_tot_work_p,shrug-pca11-dta,pc11_pca_clean_shrid.dta,sum over shrids,
pc11_pca_no_hh,shrug-pca11-dta,pc11_pca_clean_shrid.dta,sum over shrids,
secc_land_own_share,shrug-secc-mord-rural-dta,secc_rural_shrid.dta,household-weighted mean over shrids,
secc_sc_share,shrug-secc-mord-rural-dta,secc_rural_shrid.dta,household-weighted mean over shrids,
secc_st_share,shrug-secc-mord-rural-dta,secc_rural_shrid.dta,household-weighted mean over shrids,
secc_nco2d_cultiv_share,shrug-secc-mord-rural-dta,secc_rural_shrid.dta,household-weighted mean over shrids,
secc_inc_source_cultiv_share,shrug-secc-mord-rural-dta,secc_rural_shrid.dta,household-weighted mean over shrids,
secc_inc_source_manlab_share,shrug-secc-mord-rural-dta,secc_rural_shrid.dta,household-weighted mean over shrids,
secc_kisan_cc,shrug-secc-mord-rural-dta,secc_rural_shrid.dta,household-weighted mean over shrids,
secc_unirr_land_acre_sum,shrug-secc-mord-rural-dta,secc_rural_shrid.dta,sum over shrids,
secc_two_crop_acre_sum,shrug-secc-mord-rural-dta,secc_rural_shrid.dta,sum over shrids,
secc_other_irr_acre_sum,shrug-secc-mord-rural-dta,secc_rural_shrid.dta,sum over shrids,
gca_ha,derived,-,kharif + rabi + other net sown area,
cropping_intensity,derived,-,gca_ha / nsa_ha,
irr_share_gca,derived,-,ay_area_irrigated / gca_ha,PREFERRED
irr_share_nsa,derived,-,ay_area_irrigated / nsa_ha,diagnostic only
vd_irr_share,derived,-,src_irr / net sown (PC11 2011),independent of Antyodaya
ay_src_canal_vshare,derived,-,villages with canal as source / total villages,
ay_src_ground_vshare,derived,-,villages with ground_water as source / total villages,
ay_src_surface_vshare,derived,-,villages with surface_water as source / total villages,
ay_src_other_vshare,derived,-,villages with other_irrigation as source / total villages,
vd_src_canal_ashare,derived,-,pc11_vd_land_canal_irr / sum of VD irrigated area by source,"AREA share, not village share"
vd_src_tubewell_ashare,derived,-,pc11_vd_land_wl_tw_irr / sum of VD irrigated area by source,"AREA share, not village share"
vd_src_tank_ashare,derived,-,pc11_vd_land_tnk_lk_irr / sum of VD irrigated area by source,"AREA share, not village share"
vd_src_waterfall_ashare,derived,-,pc11_vd_land_w_fall_irr / sum of VD irrigated area by source,"AREA share, not village share"
vd_src_othersrc_ashare,derived,-,pc11_vd_land_oth_src_irr / sum of VD irrigated area by source,"AREA share, not village share"
mandi_vshare,derived,-,villages with mandi / total villages,
regular_market_vshare,derived,-,villages with regular_market / total villages,
weekly_haat_vshare,derived,-,villages with weekly_haat / total villages,
fpo_vshare,derived,-,villages with fpo / total villages,
storage_vshare,derived,-,villages with availability_of_food_storage_war / total villages,
farmgate_proc_vshare,derived,-,villages with availability_of_farm_gate_proces / total villages,
fert_shop_vshare,derived,-,villages with is_fertilizer_shop_available / total villages,
soil_test_vshare,derived,-,villages with is_soil_testing_centre_available / total villages,
custom_hire_vshare,derived,-,villages with availability_of_custom_hiring_ce / total villages,
livestock_ext_vshare,derived,-,villages with livestock_ext_services / total villages,
mean_holding_ha,derived,-,cultivable area / number of farmers,proxy for average operational holding
organic_farmer_share,derived,-,organic farmers / total farmers,
cultivator_share_agwork,derived,-,"cultivators / (cultivators + ag labourers), main+marginal",proxy for owner-operator vs landless structure
secc_landless_share,derived,-,1 - land_own_share,
