spec,n,b1,p1,b2,p2,tp,r2
1  full set,697,0.6020211476619952,8.657197630481507e-08,-0.5016755032169185,4.4516774506228496e-07,0.6000105085873493,0.035310101717156095
2  state fixed effects,697,0.3241821808777067,0.005627577587887463,-0.4155128078167946,6.571836894062693e-05,0.39009890282448667,0.48717461074123614
3  PC11 VD irrigation instead,656,0.18905205704605632,0.01823780083159956,-0.320958875628967,6.677357874114006e-05,0.2945113399272422,0.4901994308113242
4  drop shared parents,542,0.19531396403958173,0.026312154783481208,-0.30355334397516026,0.00020447573473118247,0.3217127531554458,0.6629788482415404
5  inverse-parent weighted,697,0.26357237636944114,0.004134556124484385,-0.3588890400224302,2.0354441918728105e-05,0.3672059424731501,0.5609528098130385
6  drop source-conflict districts,605,0.3058002714894054,0.01421736262179017,-0.40917460843738523,0.00017146402997886035,0.37367943316086916,0.5137047346649191
"7  drop MH, JH, AS",607,0.28969749200366585,0.02013247842607151,-0.3974908014625222,0.00023340631534639903,0.36440779376246807,0.5061871248562013
8  drop thinnest 10% by GCA,627,0.365042429698372,0.005832605249196754,-0.467565797140638,4.3936909009895446e-05,0.39036476997543484,0.4732519704840654
9  Shannon index,697,1.1923760110246238,0.002201706629823868,-1.7163730905123866,1.155756150877123e-06,0.3473533865147773,0.45719011230693707
10 Simpson index,697,0.32739418602622355,0.013124557984535701,-0.44180619629508167,0.00019107061760267362,0.3705178750000571,0.49013705655857576
11 crop richness,697,8.468847579431488,0.1478155460051784,-6.851414753927754,0.18901277386397108,0.6180364117189444,0.592678876224036
12 weighted by cropped area,697,0.35045370861076536,0.015454819340590772,-0.4484955232688451,0.0005264401400872509,0.39069922711434757,0.4993837985760947
